CCCC1CCCCN1
CCCC1=NCCCC1
O=Cc1ccc(O)cc1
CCC[C@H]1CCCCN1C
CC(=O)c1ccc(cc1)O
O=C2Cc1ccc(Br)cc1N2
COc1cc(C(=O)O)ccc1O
CC#CC#CC#CC#CC#CC=C
CCC[C@H]1CCC(CN1C)O
O=C(O)c1ccc(O)c(O)c1
C[C@H]1CCCCCCCNCCCNC1
COc1c2ccccc2nc3c1cco3
COc1cc2ccc(=O)oc2cc1O
COc1cc2oc(=O)ccc2cc1O
Brc2ccc1c(Br)c[nH]c1c2
Clc1c[nH]c2cc(Br)ccc12
O=C(O)/C=C/c1ccc(O)cc1
Cc3ccc2Cc1occc1CCc2c3C
COc1cc2oc(=O)ccc2cc1OC
CCCCCCCCC=CC=C[C@H](N)C
CC[C@H]([C@@H]1CCCCN1)O
CC1=C(O)C(=O)C(C(C)C)CC1
CC(C)c2ccc(C)cc2Cc1ccoc1
O=c1ccc2c(o1)cc(c(c2)O)O
CCCCC[C@H](CNCC=CC=CCCC)O
CN1CCc2cnc3c(=O)c(N)cc1c23
COC(=O)c1cc(OC)c(O)c(OC)c1
CC2=CCc1c(C)coc1CC(C)=CCC2
CN2CCc1c[nH]c(C(=O)O)c1C2=O
Nc1cc3=NCCc2c[nH]c(c1=O)c23
C1CNC(=O)C2=C(NC=C21)C(=O)O
NCCCCNC(=O)/C=C/c1ccc(O)cc1
CCCC(C1=C(O)C=C(OC)C=C1O)=O
CCC=CCC=CCCCC=CC=C[C@H](N)C
C=C(C)C(Br)CC(Br)/C(C)=C/C=O
C/C(=C\CC(Br)/C(C)=C/C=O)CCl
CC(=CCC(Br)C(C)=CC(Cl)Cl)CBr
C/C(=C\C=C(Cl)\C(C)=C\C=O)CCl
C1CNC2=CC(=O)C(=O)C3=C2C1=CN3
Cc2cc(C(=O)O)c1CC(C)C(=O)c1c2
CCCC/C=C\C#CCCCCCCCCCN(C)CCNC
CN1Cc2cc3c(cc2-c4c1cccc4)OCO3
c1ccc2c(c1)c3cc4c(cc3cn2)OCO4
CC2=C(C)C3(C)CCc1ccoc1C(C2)C3
C[n+]1ccc2c(c1)[nH]c1c2cccc1O
Cc2ccc([C@@]1(C)CCCC1(C)C)cc2
CN1CCc2c[nH]c3c(=O)c(=O)cc1c23
Cc2cc1CCC(=O)c1c3[nH]c(CO)cc23
CC1=CC2=C(C(=O)C=CC2=O)C(=C1)O
Cc2cc(O)c1C(=O)CC[C@@H](O)c1c2
COc2c(OC)c1sssc1c(CCN(C)C)c2SC
O=C(/C=C/c1ccccc1)c2ccc(O)cc2O
C=CCC/C=C\C#CCCCCCCCCCN(C)CCNC
Oc2ccc(/C=C/c1cc(O)cc(O)c1)cc2
COc1c2ccoc2nc3c1cc4c(c3OC)OCO4
C=C(C)C(Br)CC(Br)C(C)=CC(Cl)Cl
CC1=C(OC)C=C(O)C(C(CCC)=O)=C1O
Cc2ccc([C@@]1(C)CCCC1(C)C)cc2O
Cc2cc(O)cc3oc(=O)c1c(O)cccc1c23
COCc3cc2c(C)cc1CCC(=O)c1c2[nH]3
COC1=C(C2=C(C(=C1)CCN)SSSSS2)OC
c1ccc(cc1)CC2c3cccc(c3C(=O)O2)O
COc2cc(CCc1ccc(O)cc1)cc(OC)c2OC
C=CC(C)(Cl)C(Cl)CC(Cl)C(C)(C)Cl
O=C2c3c(OC(c1ccccc1)C2)cc(O)cc3O
CCCCCCCC/C=C/CC(CNC(C)=O)OC(C)=O
C/C(=C\C=O)/C=C/C(Cl)C(C)(Cl)CBr
C=C(C)C(Br)CC(Br)/C(C)=C/C(Cl)Cl
C/C(=C\CC(Br)/C(C)=C/C(Cl)Cl)CBr
COc2cc(C(=O)OCCc1ccc(O)cc1)ccc2O
COc2ccc(/C=C/c1cc(O)cc(O)c1)cc2O
COc1ccc(cc1)CCNCc2ccc(c(c2)OC)OC
COc2cc(CCc1ccc(O)c(O)c1)cc(OC)c2
C=CCCCCCC/C=C/CC(CNC(C)=O)OC(C)=O
CO[C@H]1C[C@H](O)O[C@H](C)[C@H]1O
O=C(/C=C/c1cccc(O)c1)c2ccc(O)cc2O
C=CC(/C=C/c1ccc(O)cc1)c2ccc(O)cc2
C=CC(/C=C\c1ccc(O)cc1)c2ccc(O)cc2
COc2cc(CCc1ccc(OC)c(O)c1)cc(OC)c2
O=C(c1c(O)cc(O)cc1OC)\C=C\c2ccccc2
COCc3cc2c(C)c(O)c1CCC(=O)c1c2[nH]3
COc2cc1oc(=O)ccc1c(C/C=C(C)/C)c2OC
C[C@@]12CCCC(C1CCC(=C2C=O)C=O)(C)C
COc2ccc(CCc1cc(O)c(OC)c(OC)c1)cc2O
COc2cc(CCc1ccc(O)c(O)c1)cc(OC)c2OC
CC1(C)C=Cc2c(O1)c(O)cc3oc(=O)ccc23
COc2c(O)cc(C)c3c1cccc(O)c1c(=O)oc23
c1cc2ccn3c2c(c1)c4cc5c(cc4c3=O)OCO5
COc3ccc(/C=C\c2cc(OC)c1OCOc1c2)cc3O
O=C3CCCC24CCCC1(CC(O)CCN1C2)C(O)N34
C=CC(=C)CCC/C(=C/c1cc(C)co1)COC(C)=O
C/C(=C/C(Cl)Cl)C(Br)/C=C/C(C)(Cl)CBr
COc3ccc(C=c1oc(=O)cc1c2ccc(O)cc2)cc3
COc3ccc(C=C2COc1cc(O)cc(O)c1C2=O)cc3
COc3ccc(CC2COc1cc(OC)cc(O)c1C2=O)cc3
COc3cc(O)c2c(=O)c1c(C)cc(O)cc1oc2c3O
COc3c(O)cc2oc1cc(O)cc(C)c1c(=O)c2c3O
CN1C2=CC=CC=C2C(=O)C3=C1C=C(C=C3OC)O
COc3ccc(CC2COc1cc(OC)cc(O)c1C2=O)cc3
COc3cc2nc1occc1c(OC)c2cc3OCC4OC4(C)C
CC(=CCOc1cc2c(cc1OC)nc3c(c2OC)cco3)C
C/C/1=C/CCC(=C)/C=C\[C@@H](CC1)C(C)C
c1ccc(cc1)/C=C/C2Cc3cccc(c3C(=O)O2)O
O=C2CCc1ccc(O)c(c1)Oc3ccc(C=CCO2)cc3
C/C(=C\C(Cl)Cl)C(Br)/C=C/C(C)(Cl)CBr
CCCCCCCc1c(O)cc(C/C=C(C)/C)c(O)c1C=O
[H][C@]12C(=C)CCN1CCC2OC(=O)/C(C)=C\C
O=C2C(=Cc1ccc(O)cc1)COc3cc(O)cc(O)c23
C=C[C@](C)(Cl)[C@H](Cl)/C=C/C(C)=C\Br
O=c3cc(c1ccc(O)cc1)c(=Cc2ccc(O)cc2)o3
COc1cc2c(cc1O)CN(C)C[C@H]2c3ccc(O)cc3
CN(C)CCC1=C2C(=C(C(=C1SC)OC)OC)SSSSS2
CO[C@H]1C[C@H](OC)[C@H](O)[C@@H](C)O1
