N
C
CS
CCO
CCCC
CSSC
CCCS
C(=O)C
CC(O)C
CC(C)S
NCCCCN
CC(=O)O
NCCCCCN
CCCCCCO
CNCCCCN
CCC=S=O
CCCCCC=O
CCCCCCCO
OC(=O)CC
[C@@H](C
C(=O)(C)C
CCCC(=O)O
C[C@@H](C
CCCCCCCCO
C1=CC=CCN1
c1ccc(o1)C
CCCC(CCC)O
c1ccccc1CC
OCc1ccccc1
CC/C=C\CCO
C=CCSSCC=C
C(=O)(O)CN
NCCCCNCCCN
n1cc(co1)O
CCCC(=O)CCC
C1CCCC(C1)N
C(=O)C(=O)O
C(=C\CCC)/CO
c1cc(ccc1C)O
NC(=N)NCCCCN
c1ccccc1CC=O
CCCCCCCCCCCC
CC(CC(=O)O)C
NC(=O)NCCCCN
C(=C\CCC)/C=O
c1cc(ccc1)CCO
CCCC(=O)CCCCC
c1cccc(c1)C=O
C(=O)(O)CCCCC
SCC(CS)C(=O)O
c1cc(cc(c1O)C
C1CCCCC1C(C)C
OC(=O)CC(=O)O
C(=O)CCCCCCCC
S(=O)(=O)(O)O
c1cc(ccc1O)C=O
c1ccccc1C(=O)O
c1ccc(c(c1)O)O
C[N+](CCO)(C)C
C(=O)CCCCCCCCC
[N+]1(=CCCC1)C
c1cccc(c1)NC=O
C(=O)(C(=O)O)O
C(=O)(C(=O)O)C
NCCCNCCCCNCCCN
c1cc(ccc1O)CCN
CC(=O)CCCCCCCCC
c1(c(scn1)CCO)C
CCCC(=O)CCCCCCC
CC(=O)CCC=C(C)C
S1CC(CS1)C(=O)O
CCCCCCCCCC(=O)O
C(=O)(O)CCCCCCC
OC(=O)CCCC(=O)O
c1ccc(c(c1)O)OC
c1(cnc[nH]1)CCN
[C@@H]([C@@H](C
c1cc(ccc1OC)C=O
CCCCCCCCCCCCCCC
CC[C@@H](CCCCC)O
CCC[C@H](CCCCC)O
OC(=O)CCCCC(=O)O
C[C@@H](C(=O)O)N
c1cccc(c1C(C)C)C
CS/C=C/C(=O)NCCO
c1ccc(cn1)C(=O)N
c1cncc(c1)C(=O)O
c1cc(ccc1C)C(C)C
C1(=O)C=C(CO1)CO
C(C(=O)O)CC(=O)O
CC(=O)OC/C=C/CCC
c1c(ccc(c1O)O)C=O
c1cc(ccc1C(=O)O)O
CC(=C)CCCC(=C)C=C
c1(ccc(cc1O)CCN)O
C1CNCC(=C1)C(=O)O
C(C)(CC(=O)[O-])C
c1c(ccc(c1)CCNC)O
c1(cc(cc(c1)O)O)O
c1cc(ccc1C(=O)C)O
c1c(c(c(cc1)O)O)O
C1C=C(CC=C1C)C(C)C
CC(=O)CC/C=C/C=C/C
CCC[C@@H](CCCCCC)O
c1(ccc(cc1OC)C=C)O
c1cc(cc(c1OC)C=O)O
C1CC(=CC=C1C)C(C)C
C=CC[S@@](=O)SCC=C
c1ccc(cn1)c1ccccn1
c1cccc(c1)/C=C/C=O
c1cc(ccc1C=O)C(C)C
c1c(ccc(c1)CC=C)OC
c1cc(ccc1O)CCN(C)C
S=C=NCCC[S@@](=O)C
c1ccc2c(c1)cc[nH]2
[C@H](C(=O)O)(N)CS
c1cncc(c1)C1=NCCC1
C1CC(=C(C)C)CC=C1C
c1cn(c(=O)c(c1OC)C
c12c(cc(cc1)O)OCO2
C(=C\C)(/C(=O)O)\C
c1cc(c(cc1CC=C)OC)O
C(=O)(O)CCCCCCCCCCC
C(CC=C(C)C)C(=C)C=C
C=C/C(=C/CCC(C)C)/C
CCCC(=O)CCCCCCC(C)C
c1c(cc(cc1)C(=O)C)O
C(C(=O)CCCCCCCCC)CC
CCC[C@@H](CCCCCCC)O
n1cnc2c(c1N)nc[nH]2
S1C[C@H](C[S@]1=O)O
c1cc(cc(c1C)O)C(C)C
C(=O)(/C=C/C(=O)O)O
C(CCCCCCCCC)CCCCCCC
[C@@H]1(C(=O)O)CCN1
[C@H](C(=O)O)(N)CCS
C(C(=O)O)CCCCC(=O)O
C(=O)(O)[C@@H](N)CO
S=C=NCCCC[S@@](=O)C
c1cc(c(cc1C)O)C(C)C
c1ccccc1/C=C/C(=O)O
CC(=CCC[C@H](CCO)C)C
c1c(ccc(c1)C(=O)O)OC
CCCCCCCC/C=C/CCCCCCC
c1(ccc(cc1)/C=C/C)OC
C1N(CC(=CC1)C(=O)O)C
S1C[C@H](CS1(=O)=O)O
c1ccc2c(c1)ccc(=O)o2
C1CNC[C@@]1(N)C(=O)O
S1C[C@H](C[S@@]1=O)O
[C@H](C(=O)O)(N)CCON
[C@H](C(=O)O)(N)CCCN
c1ccc(c(c1)C(=O)OC)N
c1ccc(c(c1)C(=O)OC)O
c1cncc(c1)c1n(ccc1)C
C(C(=O)O)C(=O)C(=O)O
C(C(=O)O)CCCCCC(=O)O
C(C(=O)OC/C=C/CCC)CC
[nH]1c(=O)[nH]ccc1=O
c1(c(cc(cc1)C=O)OC)O
CCCCCCCCCCCCCCCC(=O)O
C1C(=O)CC[C@H](CC1)NC
C1CN[C@H](CC1)CC(=O)C
CC(=CCC/C(=C/C=C)/C)C
CC(=CCC/C(=C/C=O)/C)C
CC(=CCC[C@H](CC=O)C)C
c1c(ccc(c1)C(=O)CCO)O
c1c(cc2c(c1)nccc2C)OC
c1cc(c(cc1C(=O)C)OC)O
C/C=C(/C=C/C=C(C)C)\C
C(=O)(CCC(=O)O)C(=O)O
C1N(CC(=CC1)C(=O)OC)C
C[N+](CC(=O)[O-])(C)C
c1ccc2c(c1)c(cn2OC)CC
c1(/C=C/C(=O)O)ccccc1
CC(=O)OC/C=C/c1ccccc1
O=C/C=C(/CCC=C(C)C)\C
O=CC[C@H](CCC=C(C)C)C
c1(c(ccc(c1)CCCO)O)OC
c1(cncc2c1CCOC2=O)C=C
c1cc(c(cc1/C=C/C)OC)O
C(=O)(O)CCCCCCCCCCCCC
CC(=C/C=C/C(=C\C)/C)C
CC(=CCC/C(=C\C=O)/C)C
c1cc(ccc1O)[C@H](CN)O
c12c(ccc(c1)CC=C)OCO2
c1ccc2c(c1)c(c[nH]2)C
c1cncc(c1)[C@@H]1NCCC1
C1[C@H](NCCC1)c1cccnc1
CC(=CCC[C@](C=C)(O)C)C
c1c(cc(c(c1)O)C(=O)O)O
c1ccc(c(c1OC)C(=O)O)OC
CC(=C)/C=C/C=C(/C=C)\C
S1C[C@@H](CC1=S)C(=O)O
CCCCC[C@@H](/C=C/C=O)O
c1c(ccc(c1)/C=C/C=O)OC
C1=C[C@H](CC=C1C)C(C)C
c1(cncc2c1CC[C@@H]2C)C
CC(=C)CCC[C@](C=C)(C)O
C(=C)/C(=C/CC=C(C)C)/C
C(CC=C(C)C)[C@H](CCO)C
c1cc(c(cc1/C=C/CO)OC)O
C1C[C@H](CC=C1C)C(=C)C
C(CC=C(C)C)/C(=C/CO)/C
c1ccc2c(c1)c(c[nH]2)CC
C1Cc2c(C[C@@H]1C)occ2C
[C@H]([C@H](O)CO)(O)CO
CCCC/C=C/CCCCCCCC(=O)O
c1(cccnc1)[C@@H]1CCCN1
C1CC(=C(C)C)C(=O)C=C1C
c1(c(cc(cc1)C(=O)O)O)O
C(C(=O)O)CCCCCCCC(=O)O
c1(cc(cc(c1O)OC)C=O)OC
C(=C(\C)/C=C)\CC=C(C)C
CC(=CCC[C@@](C=C)(C)O)C
C[C@H]([C@H](C(=O)O)C)O
C(=C(\C)/CO)/CCC(=C)C=C
C1C[C@@H](C(=O)C1)C(C)C
c1(c(c(cc(c1)O)OC)OC)OC
c1c(cc2c(c1)ccc(=O)o2)O
