O(C)c1cc(O)c2C(=O)c3c(C)cc(OC)cc3Oc2c1
O=C(OC)c1c(O)c(C=O)c(O)cc1C
O=C(OC)c1c(O)cc(O)cc1C
O=C(Oc1cc(O)c(C(=O)O)c(C)c1)c1c(O)cc(OC(=O)c2c(O)cc(O)cc2C)cc1C
O=C(Oc1cc(O)cc(C)c1)c1c(O)cc(O)cc1C
Oc1cc(O)cc(C)c1
O(C)c1c2c(c(O)c3C(=O)C(C)=C(C)Oc13)c(OC)cc(OC)c2
O(C)c1c2c(c(O)c3C(=O)C=C(C)Oc13)c(OC)cc(OC)c2
O=C(O)C=1C(=O)C(C)=C2[C@H](C)[C@@H](C)OC=C2C=1O
O=C(OC)c1ccc(O)cc1
O=C1c2c(O)cc(O)cc2C(=O)c2c1c(O)cc(C)c2
Oc1c(C)cc([C@@H](CC/C=C(\C)/C)C)cc1
O=C(O[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1)C
O=C1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1
O=C1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@H](C(=C)C)C(C)C)C)CC5)CC4)CC2)C3)CC1
O=CO[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1
O[C@@H]1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1
O([C@@H](C(O)(C)C)C[C@H](C(C)c1cc(O)c(C)cc1)C)[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O)CO2)[C@@H](O)[C@H](O)[C@@H](CO)O1
O=C(O)[C@@]1(C)[C@@H]2[C@](C)([C@H]3[C@@]4(C[C@]5(C)[C@@H]([C@H]5C4)C3)CC2)CCC1
OC(C(O)CC[C@@H](C)c1cc(O)c(C)cc1)(C)C
Oc1c(C)ccc([C@@H](CC/C=C(\C)/C)C)c1
Oc1c(C)ccc([C@@H](CCC2C(C)(C)O2)C)c1
O=C(O)Cc1ccc(O)cc1
O=C(OC)Cc1ccc(O)cc1
O=C(OC)c1c2C(=O)c3c(O)cc(C)cc3Oc2ccc1
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
