NCCCCN
NCCCCCN
OC1COCC1O
CC(=C)CCO
CC(C)=CCO
CNCC(O)=O
NCCCC(O)=O
CC(C)N=C=S
CCCCCN=C=S
Oc1ccccc1O
C\\C=C\\CO
NCC1CCOCC1
NC1CCOC1=O
OCCC1CCCCN1
CC(C)CN=C=S
CCC(C)N=C=S
OCCc1ccccc1
CC(C)(O)C=C
CCCCC(CC)C=O
CC(=C)C(O)=O
CC(C)CC(O)=O
Oc1ccc(O)cc1
CCCCCc1ccccn1
CNc1cccccc1=O
CC(C)=CC(C)=O
Cc1occc(=O)c1O
Cc1c(O)occc1=O
NCCCP(O)(=O)CO
NC(=O)NCC(O)=O
Oc1ccc2OCOc2c1
COCCn1cccc1C=O
O=C1CNC(=O)CN1
COc1ccc(CO)cc1
C\\C=C\\C(O)=O
NC(=O)c1cccnc1
CCCC(N)CCC(O)=O
OC(=O)C1=COCCO1
CCCCC(N)CC(O)=O
OC(=O)C1CCCCCN1
OC1CCCCCCCCCCC1
COc1cc(CO)ccc1O
CC(C)=CCCC(C)=O
S=C=NCCc1ccccc1
OCc1ccc2OCOc2c1
CCC\\C=C/C(O)=O
COc1ccc(C=O)cc1
COc1ccc(CCN)cc1
CC(=O)CC(C)(C)O
Oc1ccc(C=O)cc1O
CC(=O)C1CCOC1=O
NCC(=O)NCC(O)=O
Cl.CC(CCN)C(O)=O
CC1(C)COC(=O)C1O
O=C1CCc2ccccc2O1
N[C@H]1CCCCNC1=O
Oc1cccc(CC=C)c1O
O=c1ccoc2ccccc12
NC(=O)NCCCC(O)=O
OC(=O)CCC1COCCO1
CCCCCC1CCC(=O)O1
O=C1CCCCCCCCCCC1
COc1cccc(C=O)c1O
CNc1ccccc1C(O)=O
CCCCCCCCCCCCCC=O
CN(C)CCCN1CCNCC1
Cc1cc(O)cc(=O)o1
COc1ccc(C=O)cc1O
O=C1C=CC(=O)C=C1
CO\\C=C\\C(=O)OC
CCCCCCC(N)C(O)=O
C\\C=C(/C)C(O)=O
COc1coc(CO)cc1=O
COCC(=O)NCC(O)=O
Cc1cc(=O)c(O)co1
CC#CCCCCCCCC(O)=O
CC(CCO)CCc1ccccc1
NC(=O)CN1CCCCC1=O
OCc1cc(=O)c(O)co1
COc1ccc(CC=C)cc1O
c1cc2sc3ccsc3c2s1
CN1CCCCC1c1cccnc1
CSCCC1NC(=O)NC1=O
OC(=O)CCCCCCCCC#C
OC(=O)C1CCC(=O)N1
CC=Cc1ccc2OCOc2c1
CC(C)CCCC(C)CCCCO
CCCCCCCC(N)C(O)=O
COC(=O)CCCCCCCC=C
CC(CCC=C(C)C)NC=O
CC1CCCCCCCCCCC1=O
C1CCCCCC2OC2CCCC1
CC(C)Nc1cccccc1=O
Br.N[C@H]1CCOC1=O
NCCC(=O)NCCC(O)=O
Cc1nc(N)nc2CCCc12
Oc1cccc2[nH]ccc12
OC(=O)[C@H]1CSCN1
Nc1ncnc2[nH]ncc12
Nc1nc2CCCc2c(N)n1
NC(=O)NCCCCC(O)=O
Nc1nc2CCCc2c(O)n1
CC1CC(CCO1)C(O)=O
Cn1ncc2c(N)ncnc12
O=Cc1ccnc2ccccc12
O=Cc1ccc2ncccc2c1
OC(=O)CCCCC1CCSS1
CCCCCCC1CCC(=O)O1
OC(=O)CCc1ccccc1O
CSc1cccc(c1)N=C=S
CC(N=C=S)c1ccccc1
CCC(C)CCCC(C)(C)O
OC(=O)CCCCCCCCC=C
CC(C)c1ccc(C)cc1O
Oc1ccc(C=O)c(O)c1
CN(CC(O)=O)C(N)=N
OC\\C=C\\c1ccccc1
CNc1ccccc1C(=O)OC
OC(=O)c1ccc(O)cc1
O=C1Nc2ccccc2C1=O
CCOC(=O)[C@H](C)O
CC12CCC(=O)N1CCN2
CCCCCC1CCCC(=O)O1
COCC(=O)NCCC(O)=O
OC(=O)CC(S)C(O)=O
NCCCn1ccc2ccccc12
Cc1c(O)c(=O)ccn1C
CN1CCCC1c1cccnc1N
CC(C)=CCCC(=C)C=C
CC1=CC(=O)C=CC1=O
CC(=O)c1cccc(O)c1
CS(=O)CCC(N)C(O)=O
O=C1CCCCCCCCCCCCO1
CC(CC(O)=O)C1CCCO1
ONC(=O)CCCCCCCCC=C
CCCC(C)CCCCCC(O)=O
CC1=CCC(CO)(CO)CC1
CCCC(N)CCCCCC(O)=O
CC(CC(O)=O)n1ccnc1
OC(=O)c1ccc(=O)oc1
CC(O)C(C)CCC=C(C)C
CN1C2CCC1CC(C2)=NO
OCCc1cccc[n+]1[O-]
NC(=O)CN1CCCCCC1=O
Oc1nc(O)c2cncnc2n1
COc1ccc(CC=C)cc1OC
CC(C)C1NC(=O)NC1=O
Oc1ccc2C(=O)COc2c1
Oc1ccc2OC(=O)Cc2c1
Cc1cc(O)nc2ccccc12
O=CC1=Cc2ccccc2OC1
Nc1ccc(CC(O)=O)cc1
CC(=O)C1(C)CCOC1=O
COc1ccc2[nH]ccc2c1
CC1CCOC(C1)C=C(C)C
CC(=C)CCCC(C)=CC=O
Cl.OC12CCCCC1CNCC2
C[C@H](N)P(O)(O)=O
COC(=O)c1ccc(O)cc1
COc1ccc(cc1)C(C)=O
CC(O)CCc1ccc(O)cc1
COc1ccc(CN=C=S)cc1
COc1c(C)[nH]ccc1=O
O=Cc1cccn1Cc1ccco1
CC(C)\\C=C\\C(C)=O
Cc1nc(N)ncc1C(O)=O
OC(=O)c1cnc(O)nc1O
CC(C)C\\C(C)=C/C=O
OC(=O)c1cc(O)ccc1O
OC(=O)CC(=C)C(O)=O
OC(=O)c1ccc(O)cc1O
CC12CCC(=O)N1CCCN2
NC1(CC(O)=O)CCSCC1
NC1(CC(O)=O)CCOCC1
NNc1ncnc2[nH]cnc12
OC(=O)CCCCCCC(O)=O
COC1OC(CO)(OC)C=C1
COc1ncnc2[nH]cnc12
COc1cc2CCNCc2cc1OC
C1CCC(NC1)c1cccnc1
OC(=O)Cc1ccc(O)cc1
Cl.CCCC(N)CCC(O)=O
NC(CC(O)=O)c1ccccc1
I.CN1CCCC1c1cccnc1N
CCCCCCCCC1CC1C(N)=O
CCCc1ccc(nc1)C(O)=O
C1CCCCC\\C=C\\CCCC1
O=C1CCCCCCCCCCOCCO1
Oc1cc(=O)oc2ccccc12
CCCCCCC(=O)c1ccccn1
CC(=O)CC(O)c1ccccn1
CCCCCCC1CC(CO)OC1=O
OC(=O)c1cccc2OCOc12
C1OCC2CCCCCCCCCCC12
CCCC1CC(CCO1)C(O)=O
OCCN1CCCCC1c1cccnc1
Cc1nc2ccccc2c(=O)o1
CC(N)CCCCCCCCC(O)=O
NC(CC(O)=O)c1cccnc1
CC(=O)c1ccc2OCCc2c1
COc1ccc2C(=O)CCc2c1
OC(=O)c1ccc2OCCc2c1
O=NN1CCCCC1c1cccnc1
O.NC(CS(O)=O)C(O)=O
Cn1ccc(O)c(C#N)c1=O
CC(C)CCC(N)CCC(O)=O
C1C2OC2C2CC3OC3CC12
OCC#Cc1cnc2ccccc2c1
CC(=O)N1CSCC1C(O)=O
C[C@@H](N)P(O)(O)=O
CNC(=O)NCCN1CCCC1=O
OC(=O)CCC1CCC(=O)N1
CC1Oc2ccccc2C=C1C=O
OCC(C(O)=O)c1ccccc1
CC(C)(O)C#Cc1ccccn1
NC(=O)N1CCCC1C(O)=O
CC(C)=CCCC(C)(O)C=C
OC(=O)CCc1ccc(O)cc1
O=CC=C1CCCCCCCCCCC1
CC(=O)CCc1ccc(O)cc1
I.CN1CCCCC1c1cccnc1
CCNCC[C@H](N)C(O)=O
O=Cc1coc2ccccc2c1=O
OCCn1cnc2ccccc2c1=O
C\\C=C\\C=C\\C(O)=O
Cl.COC(=O)[C@H](C)N
CC1(C)C2CCC(C2)C1=C
O=Cc1c[nH]c2ncccc12
CC(C)C(=O)NCCC(O)=O
COc1cc(ccc1O)C(O)=O
COCc1ccc(o1)C(=O)OC
Oc1ccc2C(=O)COc2c1O
Cn1ccc(=O)c2ccccc12
COc1cc(ccc1O)C(C)=O
O=c1cc2COCCc2n[nH]1
COC(=O)C(O)c1ccccc1
COc1ccc(cc1O)C(O)=O
COc1ccc(CC(C)=O)cc1
COc1cccc(C(O)=O)c1O
OC(=O)CCN1CCCCCC1=O
CC(C)Oc1ccc(C=O)cc1
Nc1cc(no1)-c1ccccc1
OC(=O)CNc1ccc(O)cc1
NCCc1c[nH]c2ccccc12
CCCC1CC(OC1=O)C(C)O
COc1cc2CCN=Cc2cc1OC
Cl.Cl.NCCc1c[nH]cn1
NC(Cc1cccnc1)C(O)=O
CC1(C)CC(O)(CCO)CCO1
OCCNc1ncnc2[nH]cnc12
O=c1cccc(o1)-c1cccs1
CC1(C)CC(CCO1)C(O)=O
CC1(O)CCOCC1NCC(O)=O
O=C1CCCCCCCCCCCCCCO1
COCc1cc(C)nc(O)c1C#N
N#CCN1CCCCC1c1cccnc1
C1c2ccccc2-c2ncccc12
Cl.CNCC1OCCc2ccccc12
COC(=O)\\C=C\\C1OC1C
COc1ccc2C(=O)CCCc2c1
CCCC(NC(=O)CN)C(O)=O
COC(=O)CCCCCCCCC1CO1
COc1cccc2C(=O)CCCc12
CC\\C=C\\CCCCCCCCCCO
CC1(C)Cc2cccc(O)c2O1
Cl.Cl.Cn1cnc2CNCCc12
C#CCN1CCCCC1c1cccnc1
CN1CCC[C@H]1c1cccnc1
CSCCC1NC(=S)N(C)C1=O
NC(=O)N\\C=C\\C(O)=O
COCc1ccc(O)c2ncccc12
C1CN2CCCN1C2c1cccnc1
Cn1c2ccccc2c(O)cc1=O
OC(=O)Cc1ccc2OCOc2c1
CSCCC(NC(N)=O)C(O)=O
Cc1cc2c(C)nc(N)nc2o1
CSc1sc(SC)c(C=O)c1CO
NCCCP(O)(=O)CCC(O)=O
NC(=O)c1ncn(CCCO)c1N
Oc1cccc2ccc(C=O)nc12
OC1=CC(=O)C(O)=CC1=O
O=C1COC2=C1C(=O)CCC2
Nc1nc(O)c2nc[nH]c2n1
O.C1CN=C(C1)c1cccnc1
O[C@@H]1CCOc2ccccc12
OC(=O)C1COc2ccccc2C1
OC(=O)c1cccnc1C(O)=O
COc1ccc(COC(C)=O)cc1
N#CCc1c[nH]c2ccccc12
CC1=CC(=O)CC(C)(C)C1
COc1ccc(\\C=C\\C)cc1
Cc1c[nH]c2cccc(O)c12
CCOC(=O)C1OC11CCCCC1
COc1cc(C=O)cc(OC)c1O
CC(CCC=C(C)C)CC(O)=O
OCCNc1ncnc2[nH]ncc12
OC(=O)CCc1ccc(O)cc1O
COc1ccc(OCC(O)CN)cc1
Fc1cc(CCl)c2OCOCc2c1
NCc1cc(Br)cc2COCOc12
COc1cccc2n(CCN)ccc12
C\\C(C=O)=C/c1ccccc1
OC(=O)c1ccc(O)c(O)c1
O=c1cc[nH]c(=O)[nH]1
OC(=O)c1cc(O)cc(O)c1
OC(C(O)C(O)=O)C(O)=O
OC(=O)c1cc2CCCc2nc1O
Cl.NCCc1ccc(O)c(O)c1
CC(C)Oc1ncccc1C(O)=O
OC(=O)Cc1ccc2OCCc2c1
COC(Cc1ccccc1)C(O)=O
CC(C)COc1ccc(C=O)cc1
CC(C)COc1cccc(C=O)c1
COc1cc(C=O)cc2OCOc12
OCCNC(=O)CCCCC1CCSS1
O=CC1C(=O)Nc2ccccc12
