CO
CC
CN
C=O
C#N
CNC
CCO
CC=O
OCCO
CC#N
SC#N
OC=O
CSSC
NCCO
CCCO
OC=N
NCCS
CCCS
OCCS
BrCBr
COC=O
CCNCC
ClCCl
CCC=O
CCCCC
CCSCC
OCCCO
CCCCN
CCCCO
OCC=C
NCCCN
CSCCO
OCC#C
CN=CO
O=CC=O
CCCCCC
CC(O)C
CCOC=O
ClCCCl
ClCCBr
OCCCCO
CCCC=C
C=CC=O
CN(C)C
CSCCCO
CC(S)C
CSSCSC
IC(I)I
CN=C=S
NCCCCN
OCCOCC
BrCCBr
O=CC#C
CCCC=O
CCCCCO
c1nccs1
c1cccs1
OCC(O)C
CCCCCCN
CC(CN)O
NC(=N)O
C1CCCC1
CC(CO)N
NC(=N)S
CSCCC=O
CCCCC=O
CCCCC=C
OCCCCCO
CC(=O)C
NC(=N)N
CCCOC=O
c1ccco1
C1CCCN1
O=CCC=O
CCCCCCS
CCCCCCO
C1NCCS1
CCC(O)C
NC(=O)O
CCCOCCO
NCCCCCN
NCC(N)C
OCCCCCl
C1CCCO1
OC(=O)O
OCCNCCO
CS(=O)C
CC(=O)O
C1OCCO1
CC(=N)O
OCC(C)C
CCCCCCC
CCCC(C)C
c1ccccc1
NCC(=O)O
CCCCOCCO
O=CC(C)C
COC(=O)C
Cn1cccc1
Cc1ccco1
Cc1cscn1
OCC(CO)O
n1ccncc1
OCC(=O)O
OC(=N)CF
CCC(=O)O
CSS(=O)C
CCC(=O)C
C1CCCNC1
OCCCCCCO
CCC(CO)C
C1CCCCC1
CCCC(O)C
CC/C=CCO
CSC(=N)N
OC1CCCC1
OCCC(C)C
CC(C#N)O
CCCCCCCC
CCCCCCCO
CC(=O)OO
COC(OC)C
CN=C(O)C
ON=C(O)C
O1CCOCC1
CCCCN=CO
c1ccncn1
ON=CC=NO
OCCSCCCO
C=CCCC=C
CCC(CC)O
CCOCCOCC
CCC=CC#N
CCCN=C=S
CCCCCC=O
CC1CCCC1
O=CN(C)C
OC(=O)CF
NCCC(C)C
CCCCOC=O
CCCCOC=C
c1cccnc1
OCC(CO)C
OCCC(O)C
Cc1cnccn1
Oc1ccccc1
NCCC(=O)O
ClC(Br)Br
CNCC(=O)O
CCCC(=O)C
CCCSSCC=C
C=CCN=C=S
OC1=NCCC1
CCC(=O)CC
CCCC(=O)O
Oc1ccccn1
CC(O)(C)C
C=CCSCC=C
CCc1ccco1
OC(=O)CCl
CCCCCCCCO
Oc1cccnc1
CC/C=CC#N
OCC/C=CCC
OC(=N)CCl
CC1CCNCC1
OC(=O)C=C
OCc1ccco1
OCC1CCCO1
CCCCCCCCC
Cc1ccccn1
CCCC(CC)O
O=C1CCCO1
CCOC(=O)C
OCCOCCOCC
OCC=C(C)C
CCCCN=C=S
O=C1CCCC1
OC(C=O)CO
OCc1cocc1
CCCCNCCCC
Nc1ccccc1
OCCOC(C)C
CN(C)C.Cl
CCCC(CO)C
NCCCNCCCN
Cc1ccccc1
CC(=C)CCO
NCCCCN.Cl
O=CCC(C)C
CC(C=O)CC
O=CC(=O)O
COCC(=O)O
OCCC(CO)O
OC(=O)CCS
NCCS(=O)O
CCCCCCC=O
ClC(=C)Cl
OC1CCCCC1
O=C1CCCS1
ClC(Cl)Cl
OC(=N)C=C
O=COC(C)C
OCCCC(C)C
CCOC(=N)O
CC(=O)CBr
CCCCC(O)C
CCCCOCCCC
CNC(=NC)S
Cc1cccnc1
BrC(Br)Br
CCC(=O)OC
CCC(C=C)O
OCC(=O)CO
Nc1ccccn1
C/C=C/C=O
NC1CCCCC1
CCCCCCC=C
CC(=O)C=C
C=CC(=C)C
CCC(O)(C)C
CCCCCN=C=S
CCCOC(=O)C
OCC(C)(C)C
CCCCCC(O)C
COc1ccccc1
O=C1CCCCC1
CCC(C)(C)C
CNc1ccccc1
CCCCCCCCCC
CC(C(O)C)O
CCC1CCCCC1
CSCCC(=O)O
OC1=NCCCC1
CCC(=O)C=C
CCCCCCOC=O
CCCCC(CC)O
O=Cc1cocc1
OCc1cccnc1
BrCCCCCCBr
CSCCCN=C=S
CCCCC(=O)O
CCCCCCCC=O
C/C=C/CC#N
NCCCC(=O)O
C=CCSSCC=C
CCOC(OCC)C
CC(C(C)C)O
NCCCNCCCCN
c1ccc[nH]1
OCCCC(=O)O
Oc1ccccc1O
NOc1ccccc1
O=Cc1ccco1
NCc1ccccc1
ClC/C=C/Cl
CC/C=C/C#N
CCCCCCCCCO
O=C1CCOC1C
O=C1CCCN1C
c1ncc[nH]1
Cc1ccccc1C
CCCSSSSCCC
C1CC=CC1=O
CC(N=C=S)C
O=CC=C(C)C
C=CCCN=C=S
CCc1cccnc1
CCCC(=O)OC
Cc1ccccc1O
CC(C=O)CCC
OCCN(=O)=O
Nc1ccccc1O
Oc1ncccc1O
CCOC(=O)CC
CCCC(=O)CC
O=Cc1cscc1
ClCC(=O)Cl
COC(C)(C)C
CN(C(C)C)C
SCc1ccccc1
N#Cc1cccs1
O=Cc1cccs1
CSSc1cccs1
Brc1ccccc1
CCC/C=C/CO
CC=CC(=O)O
OC(=N)CC#N
OCC/C=C/CC
CCc1ccccc1
OCc1ccccc1
CC/C=C/C=O
C[Se](=O)O
CCCC(C=C)O
CC(CON=O)C
O=C1CCCCO1
OCCc1ccccc1
OC1=NCCCCC1
O=C1CCCC=C1
COc1ccccc1O
CCCCCC(CC)O
CNCc1ccccc1
CC(CN=C=S)C
C=CCCCN=C=S
CCCC(=O)OCC
CCCCCCCOC=O
BrCc1ccccc1
C=Cc1ccccc1
CCC(CC)(C)C
NCCCCNCCCCN
Cc1c[nH]nc1
Cc1ncsc1CCO
CC(=O)N(C)C
CCCCCC(=O)O
Cn1cncc1CCN
CC(CCON=O)C
ClCc1ccccc1
CCCc1ccccc1
CC(C(=O)O)N
C=CCSSSCC=C
NCCc1ccccc1
CC(C(=O)O)C
CC(=O)OCCCl
Cc1ccc(o1)C
N#Cc1ccncc1
CCCCOCCOCCO
CCOC(=O)OCC
CCCCCCCCCCO
CC(C(=N)O)C
CS(=O)(=O)C
OCC1CCC=CC1
CC(=O)C(O)C
O=c1ccocc1O
NCCCCC(=O)O
CCCCC(CO)CC
O=C1CCCCCO1
O=CN1CCCCC1
CCc1ccccc1O
CCc1ccccc1C
O=Cc1ccccn1
COCCOCCOCCO
COP(=O)(O)O
ClC=C(Cl)Cl
CCCCCCCCC=C
NCCCCCNCCCN
CS(=O)(=O)O
OCCN(CCO)CC
OCCCC/C=CCC
CCCCOC(=O)C
C=C1CCOC1=O
CCCOC(=O)CC
CSS(=O)CC=C
CSSc1ccccc1
O=Cc1cccnc1
CSSc1ccccn1
CSSc1ncccn1
CCCCS(=O)SC
CCCCSS(=O)C
OCc1ccccc1O
CCCCCCCCC=O
N#CC(O)(C)C
CC(=O)OCC=C
CCCCCC(=O)C
O=Cc1cccn1C
CCCCCCC(O)C
CCC/C=C/C=O
OC(=O)C(O)C
CCc1nccnc1C
O=Cc1ccccc1
CCCCCCCCCCC
CC(=O)C(C)C
OC1=NCCC=C1
OCC(CO)(C)C
CCCCCC(=N)O
Cc1cnc[nH]1
CC(CC(=O)O)C
C/C=C(/C=O)C
CCCCCCCCCCCO
O=CC1CCC=CC1
Cc1ccc(cc1)O
CC(OC(=O)C)C
Clc1ccccc1Cl
CNCCc1ccccc1
Cc1cccc(c1)C
C1OC(=O)C=C1
Cc1cccc(c1)O
OC(=O)C1CCN1
CCCCCCC(=O)O
O=C1CCCCCCC1
NCCCCNC(=N)N
CCCCOC(=O)CC
CC(CC(=O)O)O
CC(=O)C(=O)C
OCc1ccccc1CC
CCCCCCCC(O)C
C=CCc1ccccc1
N#Cc1ccccc1C
OCCOC(=O)C=C
Cc1ncc(nc1)C
COc1ccccc1OC
O=CCc1ccccc1
OCCCc1ccccc1
Cc1cccc(n1)C
CC(=C)C(=O)O
CCCCC(C=O)CC
CCCCCCC(=O)C
Sc1ccnc(n1)O
CCC(C(=O)C)C
OC(=O)C(=O)N
CCCCCOC(=O)C
CCCCCC(C=C)O
Nc1cccc(c1)O
NCCP(=O)(O)O
CCc1nccnc1CC
CCCCCCCCCC=O
CN1CCN(CC1)C
Oc1cccc(c1)O
CCCCC1CCCCC1
Oc1ccnc(n1)O
CCCC/C=C/C=O
CN(C1CSSC1)C
OC(=O)C(=O)C
CCCCCC(=O)CC
C/C=C/C(=O)O
CCCCc1ccccc1
OCC(C(CO)O)O
Nc1ccc(cc1)N
OC(=O)C(=O)O
CCCCCCCCCCCC
O=Cc1ccccc1O
CC(CC(=O)C)C
CCOC(OCC)OCC
OCC(CO)(CO)N
OCCP(=O)(O)O
SCC(C(CS)O)O
OCCCCCC(=O)O
OCCOc1ccccc1
CC1CCC(=O)O1
NCCCCCC(=O)O
OC=NC1CCCCC1
COC(=O)C(O)C
NC(C(=O)O)CN
CCCSS(=O)CCC
NC(C(=O)O)CS
CCC(C(=O)O)N
NCCCCN=C(O)C
C[N+](C)(C)C
C=CCCCCCCC=C
O=Cc1ccccc1C
CCCc1ccccc1O
CCCCCc1ccco1
N#CCc1ccccc1
CCC(C(=O)O)O
CC(C(=O)O)CC
Oc1ccc(cc1)O
CC(CC(=O)O)N
CCCCCCC(CC)O
Nc1ccc(cc1)O
Cc1ccc(cc1)C
C[C@@H](CO)N
C1CN2CCN1CC2
CC(CCC(=O)C)C
CCCC=C(C=O)CC
BrC(C(=O)O)Br
