CCO
CCCS
CCCCO
CC(C)O
CC(C)S
CCCCCO
CCCSSC
CC(=O)C
CC(=O)O
CCCCCCO
CNCCCCN
C(CCN)CN
C1CCCCC1
CC(C)CCO
CC=C(C)C
CCC(=O)O
CCC(C)CO
CCC=CCCO
CCCC=CCO
CCCCCC=O
CCCCCCCC
CCCCCCCO
C(CCN)CCN
C=C1CCCC1
CC1CCCCC1
CCC=CCC=O
CCCC=CC=O
CCCCC(C)C
CCCCCCCCC
CCCCCCCCO
C(C(=O)O)N
C(C(=O)O)O
C1C=CC=CN1
CC=CC#CC=C
CC=CC=CC=O
CCC(=O)C=C
CCCC(CCC)O
CCCCCCCC=O
CCCCCCCCCO
CN1CCCC1=O
C(=O)C(=O)O
C1CC(=O)NC1
C1CCC(CC1)N
CC(C(=O)O)O
CC(C)CCCC=C
CCCC(=O)CCC
CCCCCC(CC)O
CCCCCCC=CCO
CCCCCCCCC=O
CCCCCCCCCCO
C(CCNCCCN)CN
C[N+]1=CCCC1
C=CCCCCCCCCO
C1=COC=CC1=O
CC(=O)C(=O)O
CC(C)CC(=O)O
CCCCCC(C=C)O
CCCCCC(CCC)O
CCCCCCCCCC=O
CCCCCCCCCCCC
C1CNC(=O)C=C1
CC(=C)CC(=O)C
CC(=CC(=O)C)C
CC(=CC(=O)O)C
CC(C)C1CCCCC1
CC=C(C)C(=O)O
CCCCCC(=O)CCC
CCCCCCC(CCC)O
CCCCCCCC(=O)C
CCCCCCCC(=O)O
CCCCCCCCC(C)O
CCCCCCCCCCC=C
CCCCCCCCCCC=O
C(C(C(=O)O)N)S
C(CCN=C(N)N)CN
C(CCNC(=O)N)CN
C1=C(NC=N1)CCN
CC(=O)CCC(=O)O
CCC(C)C(=O)OCC
CCCC=CCOC(=O)C
CCCCC1CCCC1CCC
CCCCCC1=CC=CO1
CCCCCCCC(CCC)O
CCCCCCCCC(=O)O
CCCCCCCCCCCC=O
CCCCCCCCCCCCCC
CN1CCCC1C(=O)O
CSC=CC(=O)NCCO
CSCCC(C(=O)O)N
C(C(=O)O)C(=O)O
C1=CC(=CC=C1O)O
C1=CC=C(C=C1)CO
C1=CNC(=O)NC1=O
CC(=CCCC(=O)C)C
CC(=O)CC1CCCN1C
CC1=CC(=CC=C1)C
CC1=CC=C(C=C1)O
CC1C(C(CCN1)O)O
CCCCCCCC(=O)CCC
CCCCCCCCCC(=O)C
CCCCCCCCCC(=O)O
C(CC(=O)O)C(=O)O
C(CC(C(=O)O)N)CN
C(CCNCCCN)CNCCCN
C(CON)C(C(=O)O)N
C1=C(C(=O)C1=O)O
C1=CC(=CC=C1CO)O
C1=CC=C(C=C1)C=O
C1=CC=C(C=C1)CCN
C1=CC=C(C=C1)CCO
C1CNC(C(C1O)O)CO
CC(CCC=C(C)C)CCO
CC1=CNC(=O)NC1=O
CCC1=CC=C(C=C1)O
CCCC=CCOC(=O)CCC
CCCCCCCCCCC(=O)C
CN1C2CCC1CC(C2)O
CN1C2CCCC1(CC2)O
COC(=O)CCC(=O)CO
C(=CC(=O)O)C(=O)O
C(C(C(=O)O)N)[Se]
C(CCN)CC(C(=O)O)N
C1=CC(=CC=C1C=O)O
C1=CC(=CC=C1CCN)O
C1=CC(=CC=C1CCO)O
C1=CC=C(C(=C1)O)O
C1=CC=C(C=C1)CC#N
C1=CC=C(C=C1)CC=O
C1=CC=C(C=C1)NC=O
C1C(C(C(N1)CO)O)O
CC(=C)CCCC(=C)C=C
CC(=CCC=C(C)C=C)C
CC(=CCCC(=C)C=C)C
CC(=CCCC(=CCO)C)C
CC(CCC=C(C)C)CC=O
CC=C(C)C=CC=C(C)C
CC1=CC=CC=C1C(C)C
CC1=CCC2CC1C2(C)C
CCC1CCC2(O1)CCCO2
CCCC(=O)OCCC=CC=C
CCCCCC(C)CC(C)CCC
CCCCCCCCCC(=O)CCC
CCCCCCCCCCCC(=O)C
CCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCC
CN1C2CCC1CC(=O)C2
COCC1=CC=C(O1)C=O
C1=C(OC(=C1)C=O)CO
C1=CC(=C(C=C1O)O)O
C1=CC=C(C=C1)C=CCO
C1=CNS(=O)(=O)C=C1
CC(=C)C=CC=C(C)C=C
CC(=CCCC(=CC=C)C)C
CC(=CCCC(=CC=O)C)C
CC(=CCCC1=COC=C1)C
CC1=CC=C(CC1)C(C)C
CC1=CC=C(O1)C(=O)C
CC1=CC=CC=C1C(=O)C
CC1=CCC(=C(C)C)CC1
CC1=CCC(=CC1)C(C)C
CC1=CCC(C=C1)C(C)C
CC1=CCC(CC1)C(=C)C
CC1C=CC2CC1OC2(C)C
CC1CCC(CC1O)C(=C)C
CC1CCC2=C1C=NC=C2C
CC1CCC2CC(CCC2C1)C
CCCCCCCC1CCC(=O)O1
CCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCC
CCCCCCOC(=O)CC(C)C
CNCCC1=CC=C(C=C1)O
COC(=O)C1=CC=CC=C1
COC1=CC=C(C=C1)C=O
C(C(C(=O)O)N)C(=O)N
C(C(C(=O)O)O)C(=O)O
C(CCC(=O)O)CCC(=O)O
C1=C(OC=C(C1=O)O)CO
C1=CC(=CC=C1C=CCO)O
C1=CC(=CN=C1)C(=O)N
C1=CC(=CN=C1)C(=O)O
C1=CC=C(C=C1)C(=O)O
C1=CC=C(C=C1)C=CC=O
C1=CC=C(C=C1)CN=C=S
C1=CC=C2C(=C1)C=CN2
C1CC(=O)N(C1)C(=O)N
CC#CC#CCC1=CC=CC=C1
CC(=CCCC(C)(C=C)O)C
CC(C)C12CCC(=C)C1C2
CC=CC1=CC=C(C=C1)OC
CC1(C2CCC(=C)C1C2)C
CC1(C2CCC(C2)C1=C)C
CC1=CC=C(C=C1)C(C)C
CC1=CC2C(C2(C)C)CC1
CC1=CCC(CC1=O)C(C)C
CC1=CCC2(C1C2)C(C)C
CC1=CCC2C(C1)C2(C)C
CC1=CCCC(=CC=CCC1)C
CC1CC2C(C2(C)C)C=C1
CC1CCC(C(C1)O)C(C)C
CCC=CCC1=C(CCC1=O)C
CCC=CCCOC(=O)CC(C)C
CCCC#CC#CC=CC(=O)OC
CCCC(=O)CCCCCCC(C)C
CCCCC(C)CCCC(C)(C)C
CCCCCCCCC(CCCCCC)CO
CCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCCC
CCCCCCOC(=O)C(=CC)C
CN1CCCC1C2=CN=CC=C2
CNC1C2CN3C1C(O2)CC3
COC(=O)C1=CC=CC=C1N
COC(=O)C1=CC=CC=C1O
COC1=CC=C(C=C1)CC=C
CS(=O)CCCCCCCCN=C=S
C(C(=O)C(=O)O)C(=O)O
C(C(=O)COP(=O)(O)O)O
C(C(C(=O)O)N)NC(=O)N
C(C(C=O)O)OP(=O)(O)O
C(CC(=O)O)C(C(=O)O)N
C(CCCC(=O)O)CCC(=O)O
C[N+]1(CCCC1C(=O)O)C
C1=CC(=C(C=C1C=O)O)O
C1=CC(=C(C=C1CCN)O)O
C1=CC(=CC=C1C(=O)O)O
C1=CC(=CC=C1C(CN)O)O
C1=CC(=CC=C1C=CC=O)O
C1=CC=C(C=C1)C(C#N)O
C1C(C(C(O1)O)O)(CO)O
C1C=CCNC1C2=CN=CC=C2
C1CC(NC1)C2=CN=CC=C2
CC#CC#CC#CC=CC(=O)OC
CC(=CCC=C(C)C(=O)O)C
CC(C)C1=CC=C(C=C1)CO
CC(C)C1=CCC(CC1)(C)O
CC(CC(=O)O)(C(=O)O)O
CC(CCCC(C)(C)OC)CC=O
CC1=CC(=O)C=C(C1=O)C
CC1=CC=CC2=CC=CC=C12
CC1=CCC(CC1)(C(C)C)O
CC1=CCC(CC1)C(C)(C)O
CC1C2CC2(CC1=O)C(C)C
CC1CCC(C(=O)C1)C(C)C
CCCCCCCCCCCCC(=O)OCC
CCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCCCC
CNC1=CC=CC=C1C(=O)OC
C(C1C(C(C(N1)CO)O)O)O
C(CC(=O)O)C(=O)C(=O)O
C[N+](C)(C)CC(=O)[O-]
C=C(C(=O)O)OP(=O)(O)O
C=CCC1=CC(=C(C=C1)O)O
C1=CC(=CC=C1C(C#N)O)O
C1=CC(=CC=C1CC(=O)O)O
C1C(C(C(C(C1O)O)O)O)O
C1C(C(C(C(N1)CO)O)O)O
C1CC(=NC1)C2=CN=CC=C2
C1CC(C2(C(CC1N2)O)O)O
C1CC2(C(C(CC1N2)O)O)O
C1CC2(C(CC(C1N2)O)O)O
C1CC2(CC(C(C1N2)O)O)O
C1CCNC(C1)C2=CN=CC=C2
CC(C(C(C(C=O)O)OC)O)O
CC(C)C1=CC=C(C=C1)C=O
CC(C)C12CCC(O1)(CC2)C
CC(C)CCC(=O)C1=COC=C1
CC=C(C)COC(=O)C(=CC)C
CC1(C2CCC(O1)(CC2)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1=CCC2C(=O)C1C2(C)C
CCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCCCCC
CCOC(=O)CC(C(=O)OCC)O
CN(C)CCC1=CC=C(C=C1)O
CN1C=CC=C1C2=CN=CC=C2
COC(=O)C1=CC=C(C=C1)O
COC1=C(C(=CC=C1)OC)OC
COC1=C(C=C(C=C1)C=O)O
COC1=C(C=CC(=C1)C=O)O
COC1=CC=C(C=C1)C(=O)O
COC1=CC=C(C=C1)C=CC=O
COC1=CC=CC2=CC=CC=C21
C(C(C(C(C(CO)O)O)O)O)O
C(CC(C(=O)O)N)CN=C(N)N
C(CCC(=N)N)CC(C(=O)O)N
C(CCCCC(=O)O)CCCC(=O)O
C(CON=C(N)N)C(C(=O)O)N
C=CCC1=CC2=C(C=C1)OCO2
C1=C(NC=N1)CC(C(=O)O)N
C1=CC(=CC=C1C=O)C(=O)O
C1=CC=C(C(=C1)C(=O)O)O
C1=CC=C(C=C1)C=CC(=O)N
C1=CC=C(C=C1)C=CC(=O)O
C1=CC2=C(C=CO2)C=C1C=O
C1=NC2=C(N1)C(=O)NC=N2
C1C(C=CC2=CC(=O)OC21)O
CC(=C)C(CCC(C)(C=C)O)O
CC(=C)C1CCC(=C)C(C1)OO
CC(=CCC(=O)C1=COC=C1)C
CC(=O)OCC=CC1=CC=CC=C1
CC(=O)OCC1=CC=C(O1)C=O
CC(C)C=CC(=O)C1=COC=C1
CC(C)C12CC1C(=C)C(C2)O
CC(C=O)C1CCC(O1)(C)C=C
CC=CC#CC#CC#CC#CC(CO)O
CC=CC#CC#CC#CC=CC(CO)O
CC1(C2CC1C(=C)C(C2)O)C
CC1(C2CCC(C2)(C1=O)C)C
CC1(C2CCC(O1)(C=C2)C)C
CC1(C2CCC1(C(=O)C2)C)C
CC1=C(C=C(C=C1)C(C)C)O
CC1=CC(=C(C=C1)C(C)C)O
CCCCCC1=CC(=CC(=C1)O)O
CCCCCCC=CCCCCCCCC(=O)O
CCCCCCCCCCCCCCCC(=O)OC
CCCCCCCCCCCCCCCCC(=O)O
CCOC1=C(C=CC(=C1)C=O)O
CN(C)C1=NC=NC2=C1NC=N2
CN1C=CC(=C(C1=O)C#N)OC
COC1=C(C=CC(=C1)CC=C)O
COC1=CC(=CC(=C1OC)OC)O
COC1=CC(=O)C=C(C1=O)OC
COC1=CC=CC2=C1C=CC=C2O
C(C(C(=O)O)OP(=O)(O)O)O
C[N+]1(CCCC1C(=O)[O-])C
C1=C(C=C(C=C1O)O)C(=O)O
C1=CC(=C(C=C1C(=O)O)O)O
C1=CC(=C(C=C1C(CN)O)O)O
C1=CC(=C(C=C1C=CC=O)O)O
C1=CC(=C(C=C1O)C(=O)O)O
C1=CC(=CC=C1C=CC(=O)O)O
C1=NC2=NC(=O)NC(=C2N1)N
C1OC2=C(O1)C=C(C=C2)C=O
CC#CC#CC(=O)C1=CC=CC=C1
CC(=CCCC(=CCOC(=O)C)C)C
CC(=O)C1=C(C=C(C=C1)O)O
CC(=O)C1=CC(=C(C=C1)O)O
CC(=O)OC1CCN2C1CCC(C2)N
CC(C)C12CC1C(=C)C(=O)C2
CC(C)C12CCC(C=C1)(OO2)C
CC=CC1=CC(=C(C=C1)OC)OC
CC1(C2CC1C(=C)C(=O)C2)C
CC1(CCC(O1)C(C)(C)O)C=C
CC1=C(OC=C1)C(=O)CC(C)C
CCCC1CC=CC(CCCC(=O)O1)O
CCCCCC=CC=CC(=O)N1CCCC1
CCCCCC=CC=CC(=O)NCC(C)C
CCCCCC1=CC(=CC(=C1)OC)O
CCCCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCCCCCCC
CN(C)CC1=CNC2=CC=CC=C21
CN1C(CCC1=O)C2=CN=CC=C2
CN1CCCC1CC(=O)CC2CCCN2C
COC(=O)C1=CC=C(C=C1)C=O
COC1(C(C(C(O1)CO)O)O)CO
COC1=C(C=C(C=C1)CC=C)OC
COC1=C(C=CC(=C1)C=CCO)O
COC1=C(C=CC(=C1OC)O)C=O
COC1=CC(=CC(=C1O)OC)C=O
COC1C(C(C(C(C1O)O)O)O)O
C(C(C(C=O)O)O)OP(=O)(O)O
C(C1C(C(C(C(O1)O)O)O)O)O
C[N+]1(CCCCC1C(=O)[O-])C
C1(C(=O)NC(=O)N1)NC(=O)N
C1(C(C(C(C(C1O)O)O)O)O)O
C1=CC=C(C(=C1)CCC(=O)O)O
C1=CC=C(C=C1)CC(C(=O)O)N
C1=CC=C2C(=C1)C(=CN2)C=O
C1=CC=C2C(=C1)C(=CN2)CCN
C1=CC=C2C(=C1)C=CC(=O)O2
C1=CC=NC(=C1)C2=CN=CC=C2
C1C(C(C(C=C1C(=O)O)O)O)O
C1C2C(CC(C(C1O)(N2)O)O)O
C1C2C(CC(N2)(C(C1O)O)O)O
C1CC2(C(C(C(C1N2)O)O)O)N
C1CC2(C(C(C(C1N2)O)O)O)O
C1CN2CC3=CC=CC=C3N=C2C1O
CC(=O)C1=CC(=C(C=C1)O)OC
CC(=O)NC1C2CN3C1C(O2)CC3
CC1CCC2C1CC3CCC2(C=C3C)C
CCC=CCC1C(CCC1=O)CC(=O)O
CCCCCC(CCCCCCCCCC(=O)O)O
CCCCCC1C(CCC1=O)CC(=O)OC
CCCCCCC1=CC(=CC(=C1)OC)O
CCCCCCCC=CCC#CC#CC(C=C)O
CCCCCCCC=CCCCCCCCCC(=O)O
CCCCCCCC1=CC(=CC(=C1)O)O
CCCCCCCCC=CCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCCC(=O)OC
CCCCCCCCCCCCCCCCCCCCCCCC
CCOC1=C(C=C(C=C1)CC=C)OC
CN(C)CCC1=CNC2=CC=CC=C21
CN(C=O)C1C2CN3C1C(O2)CC3
CN1C=NC2=C1C(=O)NC(=O)N2
