CSSSC
CCSSSCC
CSS(=O)C
Cl[Cu]Cl
CSSSCC=C
O=[Mn]=O
C=CCSCC=C
CCCC(=O)N
C=CCN=C=S
C=CCSSCC=C
C=CCSSSCC=C
CCCCCC(CC)O
CSS(=O)CC=C
CCCCCC(C=C)O
N.N.Cl[Pt]Cl
C1CC(=O)C=C1
C=CCSSSSCC=C
C=CCSSCC(=O)N
C=CC1CNC(=S)O1
C=CCSS(=O)CC=C
CS(=O)CCCN=C=S
CS(=O)CCCCN=C=S
CC=CS[S+](C=CC)O
C=CCSCC(C(=O)O)N
C1=CC(=O)C=CC1=O
CC1=CCC2CC1C2(C)C
[C-]#[N+]C1CCCCC1
CC1=CCC(=CC1)C(C)C
C1=C(OC(=C1)C=O)CO
CC(=O)NC(CS)C(=O)O
C1=CC=C(C=C1)N=C=S
CC(=CCCC(C)(C=C)O)C
CC1(C2CCC(C2)C1=C)C
C1=CC=C(C=C1)C=CC=O
CC1(C2CCC(=C)C1C2)C
CCCCSC1=CC=C(C=C1)C
CC1=CC(=CC=C1)C(C)C
CN1CCC=C(C1)C(=O)OC
CC1=CCC2C(C1)C2(C)C
C1=CC=C(C=C1)C(=O)O
CC1=CCC(CC1)C(C)(C)O
C1C2=CC=CC=C2C(=O)O1
CC1=C(C(=O)CC1O)CC=C
CC1=CCC(CC1)(C(C)C)O
C1=CC(=C(C(=C1)O)O)O
CC(=O)C1=CC=C(C=C1)O
CC(CCC1=CC=C(C=C1)O)O
C1OC2=C(O1)C=C(C=C2)O
CCCCCCCCCCCCCCCC(=O)O
CC1(C2CCC(O1)(CC2)C)C
CC1(C2CCC1(C(C2)O)C)C
C1=NC2=C(N1)C(=S)N=CN2
CCCCCCCC#CC#CCOCC(=O)O
CC1=CC2=C(C=C1)OCCC2=O
CC1=C(C=C(C=C1)C(C)C)O
CC1(C2CCC1(C(=O)C2)C)C
C=CCC1=CC2=C(C=C1)OCO2
CCCCCCCCCCCCCCC1CCCN1C
C1=CC=C2C(=C1)C(=CN2)CO
C1=CC(=C(C=C1C(CN)O)O)O
C1=CC(=CC=C1C=CC(=O)O)O
C1=CC(=C(C=C1C(=O)O)O)O
CCCCCC=CC=CC(=O)NCC(C)C
C1=C(C(=O)C2C(C1O)O2)CO
COC1=C(C=CC(=C1)C(=O)O)O
[O-]S(=O)(=O)[O-].[Cu+2]
CN(C)CCC1=CNC2=CC=CC=C21
CCOC1C(C(C(C(O1)CO)O)O)O
CC(C)C1=C(C(=O)C=CC=C1)O
CC(=O)C1=CC(=C(C=C1)O)OC
C1=CC=C2C(=C1)C=CC(=O)O2
C=CCCCCCCCC#CC#CCOCC(=O)O
CCCC=C1C2=CC=CC=C2C(=O)O1
C1C2CNCC1C3=CC=CC(=O)N3C2
CC(=CCCC(C)(C=C)OC(=O)C)C
CCCCNS(=O)(=O)C1=CC=CC=C1
C1=CC(=C(C=C1C=CC(=O)O)O)O
CCCC=C1C2=C(C=CCC2)C(=O)O1
CONCCCCCCCCCCCCC1=CN=CC=C1
C1=C(C=C(C(=C1O)O)O)C(=O)O
CCCCC=CC=CC=CCCCCCCCC(=O)O
C[N+]1=CC=CC(=C1)C(=O)[O-]
CCC=CCC=CCC=CCCCCCCCC(=O)O
CCCCCC=CCC=CCC=CCCCCC(=O)O
CC1CCC2C1C3C(C3(C)C)CCC2=C
COC1=CC(=CC(=C1O)OC)C(=O)O
CCCCCC=CCC=CCCCCCCCC(=O)OC
CC1=CCC(C=CCC(=CCC1)C)(C)C
CC1=CCC2C3C1C2(CCC3C(C)C)C
COC1=C(C=C2C=CC(=O)OC2=C1)O
COC1=C(C=CC(=C1)C=CC(=O)O)O
C#CC=CCCCCC#CCCCC#CCCCC#CCO
COC(=O)C1=COC(C2C1CC=C2CO)O
CC1(CCCC2(C1CCC(=C)C2CO)C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC(=CCCC(=CCCC(C)(C=C)O)C)C
COC(=O)C1=CC(=C(C(=C1)O)O)O
CCCCCCCCCCCCCCC1C(C(CO1)N)O
CCN1C=C(C2=CC=CC=C21)C(=O)CO
CCOC(=O)C1=CC(=C(C(=C1)O)O)O
C1CCN2CC3CC(C2C1)C=C4C3NCCC4
CC1=CC(=O)C2=C(C1=O)C=CC=C2O
C(CC(=C[N+]#N)O)C(=C[N+]#N)O
CC1CCC2C(CC2(C)O)C(=C)CCC1=O
COC1=C(C=CC(=C1)C=CC(=O)OC)O
CC12C3CCC(C1(C(=O)OC2=O)C)O3
CC1=CC(=C(C(=C1C(=O)OC)O)C)O
COC1=C(C=C2C(=C1)C=CC(=O)O2)O
CC(CCCCCCCCCC1=CN=CC=C1)CCNOC
CN(CCCCCCCCCCCCCC1=CN=CC=C1)O
C#CC=CCCCCCCC#CC#CCCCC=CC#CCO
CC1=CCCC(=C)C2CC(C2CC1=O)(C)C
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
CCC(C)C(=O)C1=C(C=C(C=C1O)O)O
CCCCCCCCCCC(=O)C=CCCCOCC(CO)O
CCCCCCCCCC=CC(=O)CCCCOCC(CO)O
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
CC(CCCCC=C)CCCC=CC#CCCCC(=O)O
CCC(C)C1C(=C(C(=O)N1)C(=O)C)O
COC1=CC(=O)OC(C1)CCC2=CC=CC=C2
C#CC=CCCCCC=CC#CC#CCCCC=CC#CCO
C#CC=CCCCCC#CC#CC#CCCCC=CC#CCO
CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
COC1=C(C(C(C=C1Br)(CC#N)O)O)Br
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
CC1=C(C=C(C=C1)C(C)CCC=C(C)C)O
CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C
C1=CC=C(C=C1)SS(=O)C2=CC=CC=C2
CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O
COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2
COC1=CC2=C3C(=NC=C2)C=CN=C3C1=O
C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
CC12CCCC(C1CC(CC2)C(C)(C)O)(C)O
CC1CC2CC(=O)C3CCCN4C3(C1)C2CCC4
COC1=CC=CC2=C1N=C3C(=C2OC)C=CO3
C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O
CC1CCCCC2C(CC(=O)O1)C(C=CC2=O)O
C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C
CCCCCCCCCCCCCC=C1C(C(=C)OC1=O)O
COC1=CC(=O)OC(=C1)C=CC2=CC=CC=C2
C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2
CC1(CC2C1CC(C3(C(O3)CCC2=C)C)O)C
C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)CO
C1CC2CN3C(CC=CC3=O)C4C2N(C1)CCC4
CC(=O)C=C(C=CC1=CC(=C(C=C1)O)O)O
CC1=C2C(=O)C=C(C(=O)C2=CN=C1C)NC
CC1=NC=C2C(=C1)C(=O)C=C(C2=O)NCl
CC1CCC2C3C1(CC2(C)C)C(=C)C(=O)C3
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCO
C1=C(C(=O)C(=CC1(CC(=O)N)O)Br)Br
CC1CCCC2(C1=CC3C(C2)OC(=O)C3=C)C
CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C
CC1=CC(=O)CC(C1(C=CC(=O)C)O)(C)C
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
COC1(C(=O)C2=C(N1)C=C(C=C2)Br)CO
COC1=C(C2=NC=CC3=C2C(=C1)C=CN3)OC
CN1C=CC2=NC=CC3=CC(=C(C1=C32)O)OC
CC1(CCC2C1CC3C(CC2=C)OC(=O)C3=C)O
CC(=O)OC1=CC=C(C=C1)C(C=C)OC(=O)C
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
C1C2CC(=O)OC1C(C(O2)C3=CC=CC=C3)O
CC1(C=CC2=C(O1)C3=CC=CC=C3NC2=O)C
CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC
CCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
CCCCCCCCCCCCCCC(C1=CC(=C)OC1=O)OC
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O
CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C
CC12CCC3C(C1C(=C)CCC2O)OC(=O)C3=C
C1=CC=C(C=C1)C=CC2=CC(=CC(=C2)O)O
CC1=C2CC3C(=C)CCCC3(CC2(OC1=O)O)C
CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O
CC(=CCCC(C)(C1CC(=O)C(=CC1O)CO)O)C
CC1=CCCC(=CCC=C(C=CC(CC1)C(C)C)C)C
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
CCCCCCCCCCCC(=O)C1=C(C=C(C=C1O)O)O
