CSSCC=C
CSSSCC=C
CCCSSCCC
C=CCSCC=C
C1CC(=O)NC1
C=CCSSSCC=C
C1=CC(=CC=C1O)O
C1=C(C=C(C=C1O)O)O
C(=C/C(=O)O)\C(=O)O
CC1=C[C@@H](NC1=O)O
C[S@@](=O)CCCCN=C=S
C1CC(=O)N(C1)C(=O)N
C1=CC=C(C=C1)CN=C=S
C1=CC(=CC=C1C(=O)O)O
CC(=CCC/C(=C/CO)/C)C
CCCCCCCCCCCCCCCC(=O)O
C1=CC=C(C=C1)/C=C/C=O
COC1=C(C=CC(=C1)C=O)O
C=CCC1=C(C(=CC=C1)O)O
COC1=CC(=O)C=C(C1=O)OC
C=CCC1=CC2=C(C=C1)OCO2
C[S@@](=O)/C=C/CCN=C=S
CC1=CC[C@H](CC1)C(=C)C
COC1=C(C=C(C=C1)CCCO)OC
CC1=CC[C@@H](CC1)C(=C)C
CCCCCCCCCCCCCCCC(=O)OCC
CC(=O)C1=C(C=C(C=C1)OC)O
COC1=C(C=CC(=C1)C(=O)O)O
C([C@@H](C(=O)O)N)C(=O)N
CC(=C)[C@@H]1CCC(=CC1)CO
C[C@]1([C@@H](COC1=O)O)O
COC1=CC(=CC2=C1OCO2)CC=C
C1=CC=C2C(=C1)C=CC(=O)O2
CC(C)/C=C/C(=O)C1=COC=C1
COC1=C(C=CC(=C1)/C=C\CO)O
CC(=O)OC1=CC(=CC(=C1)OC)O
COC1=C(C(=C(C=C1)C=O)O)OC
COC(=O)CC1(C=CC(=O)C=C1)O
C1=CC(=CC=C1/C=C/C(=O)O)O
CCCCC/C=C/C=C/C(=O)NCC(C)C
COC(=O)/C=C\C1=CC=C(C=C1)O
C1=C(C=C(C(=C1O)O)O)C(=O)O
COC1=CC(=O)C2=CC=CC=C2C1=O
C1CC(=O)C2=CC=CC=C2[C@H]1O
CCOC(=O)CC1(C=CC(=O)C=C1)O
CC1=CC[C@H]2C[C@@H]1C2(C)C
COC1=C(C=C(C=C1O)C(=O)OC)O
C1=CC=C2C(=C1)C(=CN2)C(=O)O
COC1=C(C=C(C=C1)/C=C\C=C)OC
COC(=O)C1=CC(=C(C(=C1)O)O)O
CCOC(=O)/C=C\C1=CC=C(C=C1)O
COC1=CC2=C(C=C1)N(C(=O)O2)O
C(CON=C(N)N)[C@@H](C(=O)O)N
COC1=C(C=C(C=C1)/C=C\C=O)OC
CC(=O)/C=C/C1=CC(=C(C=C1)O)O
CC/C=C/C/C=C\C/C=C\CCCC(=O)C
CC1=CC(=O)C2=C(C1=O)C=CC=C2O
C1=CC(=C(C=C1/C=C\C(=O)O)O)O
C1=CC(=CC=C1C(=O)[O-])[OH2+]
CCOC(=O)/C=C/C1=CC=C(C=C1)OC
CC/C=C\C/C=C\C/C=C\CCCC(=O)C
COC1=C(C2=C(C=C1CC=C)OCO2)OC
CCOC(=O)C1=CC(=C(C(=C1)O)O)O
CC1=CC2=C(C=C1)NC3=CC=CC=C32
CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CC(=CCN1C=NC(=C2C1=NC=N2)N)C
COC1=CC(=CC(=C1O)OC)/C=C/C=O
C1CC(=O)C2=C([C@H]1O)C=CC=C2O
COC1=C(C=C2C(=C1)C=CC(=O)O2)O
[H+].CCCCCCCCCCCCCCCC(=O)[O-]
C(/C(=C/C(=O)O)/C(=O)O)C(=O)O
COC1=CC(=C(C=C1/C=C\C=C)OC)OC
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
COC1=C(C=CC(=C1)/C=C\C(=O)O)O
COC1=C2C=COC2=NC3=C1C=CC(=C3)O
CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
CCCCCCCCCCCCCCC/C=C\CCCCC(=O)N
C/C=C/C#CC#CC#C/C=C/[C@H](CO)O
CCCC/C=C/C=C/C=C\CCCCCCCC(=O)O
CCCCCCC/C=C\CC#CC#C[C@H](C=C)O
C/C(=C\COC1=CC=C(C=C1)CCCO)/CO
COC1=C(C=C2C(=C1)C=CC(=O)O2)OC
C1=CC(=O)OC2=CC(=C(C=C21)C=O)O
C1=CC(=C(C2=C1C=CC(=O)O2)C=O)O
COC1=C(C=CC(=C1)/C=C\C(=O)OC)O
CC1=CC(=O)C2=C(C=C(C=C2O1)OC)O
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21
CC1=CC2=C(C(=O)C=CC2=O)C(=C1)O
CC1=CC(=O)/C(=C(/C)\N)/C(=O)O1
CC(=C1C=C(C(=O)O1)CN2CCCC2=O)C
COC1=CC(=CC(=C1O)OC)C2=CC=CC=C2
C/C/1=C/CCC(=C)/C=C/C(CCC1)(C)C
COC1=C(C2=C(C=C1)C=CC(=O)O2)C=O
C[C@H]1CC[C@H]([C@H](C1)O)C(C)C
COC1=CC(=C2C(=C1)OC(=CC2=O)CO)O
CC1=CC[C@@H](C[C@@H]1O)C(C)(C)O
CC(=O)N1CCC2=C(C1)NC3=CC=CC=C23
COC1=CC(=CC(=C1)O)C2=CC=C(C=C2)O
COC1=CC(=CC(=C1O)OC)/C=C\C(=O)OC
CCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O
